epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,4.163216086534353,5.290793245849609,13.544000017089843,29.54199996826172,0.001
1,3.4526815872925978,4.486284098968506,25.24799995239258,45.959999973144534,0.000999725872158593
2,3.3159971879078793,5.1793027111816405,17.210000041503907,33.63599987915039,0.0009989038226169207
3,3.2637779987775364,5.510796739959717,13.230000061035156,26.568000095214845,0.0009975348529157229
4,3.145218619933495,5.9779736334228515,6.74800000579834,16.86600003051758,0.0009956206309337066
5,3.135584601989159,6.0967392477416995,6.184000013122558,14.427999993896485,0.0009931634888554937
6,3.106302187992976,5.676912088317871,10.411999958496093,22.842000020751954,0.0009901664203302125
7,3.096980434197646,5.693154479827881,10.026000012817383,22.538000010986327,0.0009866330768241983
8,3.0260626077651978,5.343511625213623,15.733999987792968,31.94800000488281,0.0009825677631722434
9,3.0555196542006273,4.847517644500733,22.75200005859375,42.457999978027345,0.0009779754323328191
10,3.015433128063495,4.427044793167115,29.214000072021484,51.03400000488281,0.0009728616793536588
11,2.974227391756498,3.8810960429382324,39.47599997070313,63.43000004150391,0.0009672327345550543
12,2.9996666816564708,3.309598366470337,47.93799996337891,72.15600009277344,0.0009610954559391703
13,2.9842083270733175,2.994004084320068,53.11200007080078,76.58999994628907,0.0009544573208346252
14,2.93897152864016,2.68573510635376,57.680000056152345,80.48999999023438,0.0009473264167865172
15,2.922872855113103,2.358086271247864,61.782000048828124,83.36599993408203,0.0009397114317029975
16,2.9556646713843713,2.111126033744812,64.66800000976562,85.50399995605468,0.0009316216432703917
17,2.897743582725525,1.9552249647140503,66.26600008300781,86.62000000488281,0.0009230669076497688
18,2.92031035056481,1.8127335218048095,67.91799998046875,87.89400002441407,0.0009140576474687263
19,2.9535988110762377,1.6954794136047364,69.3480001586914,88.7979999194336,0.0009046048391230249
20,3.025784235734206,1.627909340400696,69.92399999511719,89.28800002441406,0.00089471999940354
21,2.84960531271421,1.523234598083496,70.5760000756836,89.92000007324219,0.0008844151714648274
22,2.9353085664602427,1.4862452653312683,71.22800007080077,90.15799991699218,0.000873702910152393
23,2.84362700352302,1.437935028591156,71.88400001464844,90.55799999511719,0.0008625962667065488
24,2.94249519935021,1.3987174981307984,72.4460000366211,90.98400004394531,0.0008511087728614862
25,2.8938169112572303,1.3705823805618287,72.9480000415039,91.26199999267578,0.0008392544243589427
26,2.888202401307913,1.3090780664825439,73.54600006835938,91.56400004394531,0.0008270476638965462
27,2.8906940130087047,1.2913674988555908,73.79200009277343,91.86599999267578,0.000814503363531613
28,2.9059611283815823,1.2544029374694825,74.10800014160156,92.03999991210938,0.0008016368065618361
29,2.904935488334069,1.2074912119293213,74.5080001147461,92.29200004150391,0.0007884636689049423
30,2.8798396037175107,1.1891568726158142,74.73399998291016,92.34000014648437,0.0007750000000000001
31,2.875311934030973,1.159893130455017,75.04599995605469,92.5560001196289,0.0007612622032536509
